"EventId","EventTemplate","Occurrences"
"E383","('audit:', 'enabled', '(after', 'initialization)')","1"
"E384","('spurious', '<*>', 'interrupt:', 'IRQ7.')","1"
"E385","('printk:', '<*>', 'messages', 'suppressed.')","1"
"E386","('VM:', 'killing', 'process', 'httpd')","26"
"E387","('VM:', 'killing', 'process', 'sendmail')","2"
"E388","('Memory:', '<*>', 'available', '<*>', 'kernel', 'code,', '<*>', 'reserved,', '<*>', 'data,', '<*>', 'init,', '<*>', 'highmem)')","8"
"E389","('authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'NODEVssh', 'ruser=', '<*>', '<*>', 'user=', '<*>')","2876"
"E390","('authentication', 'failure;', 'logname=', 'LOGIN', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'tty2', 'ruser=', '<*>', 'user=', '<*>')","1"
"E391","('<*>', '<*>', 'item=', '<*>', 'name=', '/sys//devices/pci0000:', '<*>', '<*>', '1f.2/usb1/bNumConfigurations', 'inode=', '<*>', 'dev=', '<*>', '<*>')","2"
"E392","('Failure', 'registering', 'capabilities', '<*>', 'the', 'kernel')","8"
"E393","('PCI:', 'Invalid', 'ACPI-PCI', '<*>', 'routing', 'table')","8"
"E394","('Transparent', 'bridge', '-', '<*>', '<*>', '<*>')","8"
"E395","('agpgart:', 'detected', '<*>', '<*>', 'video', 'ram.')","8"
"E396","('Freeing', 'unused', 'kernel', '<*>', '<*>', 'freed')","8"
"E397","('Disabled', 'Privacy', 'Extensions', '<*>', 'device', '<*>')","8"
"E398","('configure:', 'keyword', '""authenticate""', '<*>', 'line', 'ignored')","8"
"E399","('PCI:', 'Probing', 'PCI', 'hardware', '(bus', '<*>')","8"
"E400","('<*>', 'Multi-Platform', 'E-IDE', '<*>', 'Revision:', '<*>')","8"
"E401","('<*>', '<*>', 'USB', '<*>', 'core', '<*>')","8"
"E402","('<*>', 'gpm', 'successfully.', '<*>', 'daemon', 'mode.')","8"
"E403","('<*>', 'initialized', '<*>', '<*>', 'from', '/var/lib/ntp/drift')","8"
"E404","('Charge:', '*', '*', '*', '(-1%', 'unknown)')","8"
"E405","('<*>', 'Microcode', 'Update', 'Driver:', '<*>', '<tigran@veritas.com>')","8"
"E406","('Device:', '/dev/hda,', 'found', 'in', 'smartd', 'database.')","8"
"E407","('kjournald', 'starting.', 'Commit', 'interval', '<*>', 'seconds')","16"
"E408","('EXT3-fs:', 'hda2:', '<*>', 'orphan', 'inodes', 'deleted')","1"
"E409","('hub', '<*>', '<*>', '<*>', 'hub', 'found')","8"
"E410","('hub', '<*>', '<*>', '<*>', 'ports', 'detected')","8"
"E411","('EXT3', 'FS', 'on', '<*>', 'internal', 'journal')","16"
"E412","('<*>', 'Donald', 'Becker', 'and', 'others.', 'www.scyld.com/network/vortex.html')","16"
"E413","('notify', 'question', 'section', 'contains', 'no', 'SOA')","16"
"E414","('ip_tables:', '(C)', '<*>', 'Netfilter', 'core', 'team')","17"
"E415","('Squid', 'Parent:', 'child', 'process', '<*>', 'started')","8"
"E416","('listening', 'on', 'IPv4', 'interface', 'lo,', '<*>')","8"
"E417","('listening', 'on', 'IPv4', 'interface', 'eth0,', '<*>')","8"
"E418","('ANONYMOUS', 'FTP', 'LOGIN', 'FROM', '<*>', '(anonymous)')","2"
"E419","('ttloop:', 'read:', 'Connection', 'reset', 'by', 'peer')","10"
"E420","('smartd', 'is', 'exiting', '(exit', 'status', '<*>')","4"
"E421","('Caught', 'signal', '<*>', 'un-registering', 'and', 'exiting.')","3"
"E422","('open(/dev/pts/0):', 'No', 'such', 'file', 'or', 'directory')","5"
"E423","('Client', 'hung', 'up', '-', 'probable', 'port-scan')","1"
"E424","('Connection', 'from', '<*>', 'on', 'illegal', 'port')","2"
"E425","('hda:', 'drive', 'not', 'ready', 'for', 'command')","1"
"E426","('<*>', '<*>', 'item=', '<*>', 'name=', '/proc/sys/net/econet')","1"
"E427","('<*>', '<*>', 'item=', '<*>', 'name=', '/proc/net/rpc/nfs4.idtoname/channel')","1"
"E428","('Dentry', 'cache', 'hash', 'table', 'entries:', '<*>', '(order:', '<*>', '<*>', 'bytes)')","8"
"E429","('<*>', '<*>', 'IRQ', 'router', 'PIIX/ICH', '<*>', 'at', '<*>', '<*>', '<*>')","8"
"E430","('<*>', '<*>', '<*>', '<*>', 'Info:', 'loading', 'configuration', 'file', ""'/etc/privoxy/config':"", '')","8"
"E431","('agpgart:', 'Maximum', 'main', 'memory', 'to', 'use', 'for', 'agp', 'memory:', '<*>')","8"
"E432","('<*>', 'at', 'I/O', '<*>', '(irq', '=', '<*>', 'is', 'a', '<*>')","16"
"E433","('<*>', 'BM-DMA', 'at', '<*>', 'BIOS', 'settings:', '<*>', 'DMA,', 'hdb:', 'pio')","8"
"E434","('<*>', 'BM-DMA', 'at', '<*>', 'BIOS', 'settings:', '<*>', 'DMA,', 'hdd:', 'pio')","8"
"E435","('hda:', '<*>', 'sectors', '<*>', 'MB)', '<*>', 'Cache,', 'CHS=', '<*>', 'UDMA(66)')","8"
"E436","('select', 'reported', 'EBADF', 'but', 'no', 'bad', 'file', 'descriptors', 'were', 'found')","8"
"E437","('xinetd', 'Version', '<*>', 'started', 'with', 'libwrap', 'loadavg', 'options', 'compiled', 'in.')","8"
"E438","('connection', 'from', '<*>', '<*>', 'at', '<*>', '<*>', '<*>', '<*>', '<*>')","3357"
"E439","('ttloop:', 'peer', 'died:', 'Invalid', 'or', 'incomplete', 'multibyte', 'or', 'wide', 'character')","112"
"E440","('SELinux:', 'initialized', '(dev', ',', 'type', 'mqueue),', 'not', 'configured', 'for', 'labeling')","1"
"E441","('SELinux:', 'initialized', '(dev', ',', 'type', 'hugetlbfs),', 'not', 'configured', 'for', 'labeling')","1"
"E442","('Warning!', 'Could', 'not', 'relabel', 'with', 'system_u:', 'object_r:', 'devpts_t,', 'not', 'relabeling.')","1"
"E443","('pci_hotplug:', '<*>', 'Hot', 'Plug', '<*>', 'Core', 'version:', '<*>')","8"
"E444","('smartd', '<*>', '<*>', 'Copyright', '<*>', '<*>', 'Bruce', 'Allen')","8"
"E445","('hdc:', '<*>', '(U)DMA', 'for', '<*>', 'CD-ROM', '<*>', '(blacklisted)')","8"
"E446","('input:', '<*>', 'Translated', 'Set', '<*>', 'keyboard', 'on', '<*>')","8"
"E447","('Service', '<*>', 'failed', 'to', '<*>', 'and', 'is', 'deactivated.')","8"
"E448","('rsyncd', '<*>', '<*>', 'starting,', '<*>', 'on', 'port', '<*>')","8"
"E449","('Version', '<*>', '(APM', 'BIOS', '<*>', 'Linux', 'driver', '<*>')","8"
"E450","('TCP:', 'Hash', 'tables', 'configured', '(established', '<*>', 'bind', '<*>')","8"
"E451","('mice:', 'PS/2', 'mouse', 'device', 'common', 'for', 'all', 'mice')","8"
"E452","('file', 'descriptor', 'of', 'service', 'comsat', 'has', 'been', 'closed')","8"
"E453","('md:', 'md', 'driver', '<*>', 'MAX_MD_DEVS=', '<*>', 'MD_SB_DISKS=', '<*>')","8"
"E454","('microcode:', 'CPU0', 'already', 'at', 'revision', '<*>', '(current=', '<*>')","8"
"E455","('EXT3-fs:', 'write', 'access', 'will', 'be', 'enabled', 'during', 'recovery.')","4"
"E456","('parport0:', 'PC-style', 'at', '<*>', '<*>', '[PCSPP,', 'TRISTATE,', 'EPP]')","16"
"E457","('session', 'opened', 'for', 'user', '<*>', 'by', '(uid=', '<*>')","552"
"E458","('session', 'opened', 'for', 'user', '<*>', 'by', 'LOGIN(uid=', '<*>')","7"
"E459","('session', 'opened', 'for', 'user', '<*>', 'by', 'root(uid=', '<*>')","2"
"E460","('wall:', 'user', 'test', 'broadcasted', '<*>', 'lines', '<*>', 'chars)')","1"
"E461","('hda:', 'status', 'timeout:', 'status=', '<*>', '{', 'Busy', '}')","1"
"E462","('httpd:', 'page', 'allocation', 'failure.', 'order:', '<*>', 'mode:', '<*>')","77"
"E463","('sendmail:', 'page', 'allocation', 'failure.', 'order:', '<*>', 'mode:', '<*>')","11"
"E464","('SELinux:', 'initialized', '(dev', '<*>', 'type', '<*>', 'uses', 'genfs_contexts')","11"
"E465","('SELinux:', 'initialized', '(dev', '<*>', 'type', '<*>', 'uses', 'xattr')","3"
"E466","('ide:', 'Assuming', '<*>', 'system', 'bus', 'speed', 'for', 'PIO', 'modes;', 'override', 'with', 'idebus=', 'xx')","8"
"E467","('checking', 'if', 'image', 'is', 'initramfs...it', ""isn't"", '(no', 'cpio', 'magic);', 'looks', 'like', 'an', 'initrd')","8"
"E468","('User', 'unknown', 'timed', 'out', 'after', '<*>', 'seconds', 'at', '<*>', '<*>', '<*>', '<*>', '<*>')","36"
"E469","('authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', ':', '<*>', 'ruser=', 'rhost=', '')","1"
"E470","('authentication', 'failure;', 'logname=', 'LOGIN', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'tty2', 'ruser=', 'rhost=', '')","1"
"E471","('authentication', 'failure;', 'logname=', 'test', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'ruser=', 'rhost=', 'user=', 'test')","2"
"E472","('<*>', '<*>', 'item=', '<*>', 'name=', '/sys/bus/pci/devices/0000:', '<*>', '0c.0/resource', 'inode=', '<*>', 'dev=', '<*>', '<*>')","1"
"E473","('uhci_hcd', '<*>', '<*>', '<*>', 'new', 'USB', 'bus', 'registered,', 'assigned', 'bus', 'number', '<*>')","8"
"E474","('bind', 'failed', '(Address', 'already', 'in', 'use', '(errno', '=', '<*>', 'service', '=', 'telnet')","8"
"E475","('authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'NODEVssh', 'ruser=', 'rhost=', '<*>')","1041"
"E476","('rsync', 'error:', 'error', 'in', 'rsync', 'protocol', 'data', 'stream', '(code', '<*>', 'at', '<*>')","1"
"E477","('<*>', 'more', 'authentication', 'failures;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'NODEVssh', 'ruser=', 'rhost=', '<*>', 'user=', 'root')","11"
"E478","('<*>', 'more', 'authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'NODEVssh', 'ruser=', 'rhost=', '<*>', 'user=', 'test')","5"
"E479","('<*>', 'more', 'authentication', 'failure;', 'logname=', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'NODEVssh', 'ruser=', 'rhost=', '<*>', 'user=', 'root')","1"
"E480","('<*>', 'more', 'authentication', 'failures;', 'logname=', 'LOGIN', 'uid=', '<*>', 'euid=', '<*>', 'tty=', 'tty2', 'ruser=', 'rhost=', 'user=', 'root')","1"
"E481","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', '<*>', '<*>', '<*>', '<*>', 'path=', '<*>', 'dev=', 'hda2', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'system_u:', 'object_r:', '<*>', 'tclass=', '<*>')","3"
"E482","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '<*>', '}', 'for', '<*>', '<*>', '<*>', '/usr/lib/vte/gnome-pty-helper', '<*>', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'system_u:', 'object_r:', '<*>', 'tclass=', '<*>')","1"
"E483","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'dev=', 'hda2', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'system_u:', 'object_r:', '<*>', 'tclass=', '<*>')","20"
"E484","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', '<*>', '<*>', '<*>', '<*>', 'path=', '<*>', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'system_u:', 'system_r:', '<*>', 'tclass=', '<*>')","1"
"E485","('<*>', '<*>', 'avc:', 'denied', '{', 'ioctl', '}', 'for', 'pid=', '<*>', 'exe=', '/sbin/arping', 'path=', 'socket:', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'system_r:', 'kernel_t', 'tclass=', 'packet_socket')","1"
"E486","('<*>', '<*>', 'avc:', 'denied', '{', 'transition', '}', 'for', 'pid=', '<*>', 'exe=', '/bin/su', 'path=', '/bin/bash', 'dev=', 'hda2', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'user_u:', 'sysadm_r:', 'sysadm_t', 'tclass=', 'process')","1"
"E487","('<*>', '<*>', 'avc:', 'denied', '{', 'unlink', '}', 'for', 'pid=', '<*>', 'exe=', '/usr/bin/gdm-binary', 'name=', '.gdmfifo', 'dev=', 'hda2', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'file_t', 'tclass=', 'fifo_file')","1"
"E488","('<*>', '<*>', 'avc:', 'denied', '{', 'read', 'write', '}', 'for', 'pid=', '<*>', 'exe=', '/usr/sbin/sshd', 'name=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'root:', 'object_r:', 'devpts_t', 'tclass=', 'chr_file')","1"
"E489","('<*>', '<*>', 'avc:', 'denied', '{', 'transition', '}', 'for', 'pid=', '<*>', 'exe=', '/usr/sbin/sshd', 'path=', '/bin/bash', 'dev=', 'hda2', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'root:', 'sysadm_r:', 'sysadm_t', 'tclass=', 'process')","1"
"E490","('<*>', '<*>', 'avc:', 'denied', '{', 'read', 'write', '}', 'for', 'pid=', '<*>', 'exe=', '/sbin/init', 'name=', 'initctl', 'dev=', 'hda2', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'file_t', 'tclass=', 'fifo_file')","1"
"E491","('<*>', '<*>', 'avc:', 'denied', '{', 'read', '}', 'for', 'pid=', '<*>', 'exe=', '/usr/sbin/kudzu', 'name=', '<*>', '<*>', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'sysfs_t', 'tclass=', 'lnk_file')","1"
"E492","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'system_u:', 'system_r:', '<*>', 'tclass=', '<*>')","5"
"E493","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'system_u:', 'object_r:', '<*>', 'tclass=', '<*>')","32"
"E494","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'user_u:', 'sysadm_r:', '<*>', 'tclass=', '<*>')","3"
"E495","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'root:', 'sysadm_r:', '<*>', 'tclass=', '<*>')","3"
"E496","('<*>', '<*>', 'syscall=', '<*>', 'exit=', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'items=', '<*>', 'pid=', '<*>', 'loginuid=', '<*>', 'uid=', '<*>', 'gid=', '<*>', 'euid=', '<*>', 'suid=', '<*>', 'fsuid=', '<*>', 'egid=', '<*>', 'sgid=', '<*>', 'fsgid=', '<*>')","113"
"E497","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'name=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'system_u:', 'object_r:', '<*>', 'tclass=', '<*>')","24"
"E498","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'path=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'system_u:', 'object_r:', '<*>', 'tclass=', '<*>')","14"
"E499","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'name=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'system_u:', 'system_r:', '<*>', 'tclass=', '<*>')","1"
"E500","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'path=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'user_u:', 'sysadm_r:', '<*>', 'tclass=', '<*>')","1"
"E501","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'name=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'user_u:', 'sysadm_r:', '<*>', 'tclass=', '<*>')","1"
"E502","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'name=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'root:', 'object_r:', '<*>', 'tclass=', '<*>')","2"
"E503","('<*>', '<*>', 'avc:', 'denied', '{', '<*>', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'path=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', '<*>', 'tcontext=', 'root:', 'object_r:', '<*>', 'tclass=', '<*>')","1"
"E504","('<*>', '<*>', 'avc:', 'denied', '{', 'search', '}', 'for', 'pid=', '<*>', 'exe=', '/sbin/killall5', 'name=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'user_u:', 'sysadm_r:', 'sysadm_t', 'tclass=', 'dir')","1"
"E505","('<*>', '<*>', 'avc:', 'denied', '{', 'read', '}', 'for', 'pid=', '<*>', 'exe=', '/sbin/killall5', 'name=', 'stat', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'user_u:', 'sysadm_r:', 'sysadm_t', 'tclass=', 'file')","1"
"E506","('<*>', '<*>', 'avc:', 'denied', '{', 'search', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'ramfs_t', 'tclass=', 'dir')","1"
"E507","('<*>', '<*>', 'avc:', 'denied', '{', 'write', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'ramfs_t', 'tclass=', 'dir')","1"
"E508","('<*>', '<*>', 'avc:', 'denied', '{', 'search', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'devpts_t', 'tclass=', 'dir')","1"
"E509","('<*>', '<*>', 'avc:', 'denied', '{', 'read', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'devpts_t', 'tclass=', 'dir')","1"
"E510","('<*>', '<*>', 'avc:', 'denied', '{', 'search', '}', 'for', 'pid=', '<*>', 'exe=', '<*>', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'rpc_pipefs_t', 'tclass=', 'dir')","1"
"E511","('<*>', '<*>', 'avc:', 'denied', '{', 'add_name', '}', 'for', 'pid=', '<*>', 'exe=', '/usr/bin/rhgb', 'name=', 'rhgb-socket', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'ramfs_t', 'tclass=', 'dir')","1"
"E512","('<*>', '<*>', 'avc:', 'denied', '{', 'create', '}', 'for', 'pid=', '<*>', 'exe=', '/usr/bin/gdm-binary', 'name=', '.gdmfifo', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'file_t', 'tclass=', 'fifo_file')","1"
"E513","('<*>', '<*>', 'avc:', 'denied', '{', 'create', '}', 'for', 'pid=', '<*>', 'exe=', '/usr/bin/rhgb', 'name=', 'rhgb-socket', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'ramfs_t', 'tclass=', 'sock_file')","1"
"E514","('<*>', '<*>', 'avc:', 'denied', '{', 'create', '}', 'for', 'pid=', '<*>', 'exe=', '/usr/X11R6/bin/Xorg', 'name=', 'XFree86.0.log', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'ramfs_t', 'tclass=', 'file')","1"
"E515","('<*>', '<*>', 'avc:', 'denied', '{', 'create', '}', 'for', 'pid=', '<*>', 'exe=', '/sbin/minilogd', 'name=', 'log', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'file_t', 'tclass=', 'sock_file')","1"
"E516","('<*>', '<*>', 'avc:', 'denied', '{', 'create', '}', 'for', 'pid=', '<*>', 'exe=', '/sbin/nash', 'name=', 'control', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'file_t', 'tclass=', 'chr_file')","1"
"E517","('<*>', '<*>', 'avc:', 'denied', '{', 'execute', '}', 'for', 'pid=', '<*>', 'path=', '/dev/mem', 'dev=', 'hda2', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'file_t', 'tclass=', 'chr_file')","1"
"E518","('<*>', '<*>', 'avc:', 'denied', '{', 'getattr', '}', 'for', 'pid=', '<*>', 'exe=', '/bin/bash', 'path=', '/sys/devices/pci0000:', '<*>', '<*>', '1f.2/usb1/bNumConfigurations', 'dev=', 'ino=', '<*>', 'scontext=', 'system_u:', 'system_r:', 'kernel_t', 'tcontext=', 'system_u:', 'object_r:', 'sysfs_t', 'tclass=', 'file')","1"
